19,9486702
23,1210682
18,1591452
20,3545027
19,9908396
21,7742996
21,671562
20,1186717
21,4922929
20,4901355
23,9832094
18,7641629
23,3744432
22,3977116
22,7412747
20,9202941
23,2889965
23,688742
20,1721902
20,4458925
21,9889687
21,630853
23,4320768
19,3305452
20,9890171
23,9627141
21,1536334
20,9707587
19,324406
19,8846217
22,605645
18,3601497
20,1564955
22,6567434
18,4265257
21,5865899
18,2078893
23,97516
19,6307347
18,0934791
20,6775748
18,9915976
19,7707523
22,6425468
18,6952098
18,0581863
18,4697399
19,5280283
21,5536923
18,0015213
21,0420037
19,6460427
18,4482515
19,6091529
20,1951764
18,5042446
22,2176016
22,7216134
19,1596572
19,9219887
21,2327633
19,2561028
20,7011348
19,2279735
18,4573993
20,7331718
23,8568911
18,9213789
22,1581163
21,9636665
20,5093344
23,5833658
20,2546114
19,6837032
20,1621429
22,5466809
21,2739526
22,6437936
21,0772043
19,2109019
19,2445739
23,8975664
20,3745216
21,6037761
18,1086439
22,534345
23,5617871
22,7598629
18,3499549
20,8978321
22,8650151
20,40797
23,3955062
19,3240863
23,2474717
19,2087171
21,5796818
19,6723915
21,5545026
18,5129628
